request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_251,1513.6,affordable_with_plan,installments,2025-05-03:1513.6,2025-05-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_252,9110500,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_253,2143.57,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_254,1759.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_256,218700,affordable_with_plan,installments,2024-06-03:218700,2024-06-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_257,1085.2,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_259,627.3,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_260,13522300,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_263,13750,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_264,39795,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_266,935,affordable_with_plan,installments,2025-08-03:935,2025-08-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_267,1925,affordable_with_plan,installments,2026-01-05:1925,2026-01-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_268,1512.52,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_269,15490,affordable_with_plan,installments,2025-11-04:15490,2025-11-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_270,535.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_271,84760,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_272,8815924,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_273,13372200,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:2713.7,2024-12-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
